,Page views,Site sessions,Unique visitors,Bounce rate,Avg. session duration
count,30.0,30.0,30.0,30.0,27.0
mean,75.7,25.6,23.233333333333334,0.5693333333333334,204.44444444444446
std,79.59039536578995,11.025362610347797,9.926222093902155,0.1045493888678632,138.5491674275663
min,23.0,15.0,14.0,0.38,90.0
25%,45.5,19.25,18.0,0.5125,112.5
50%,61.0,22.5,20.5,0.59,171.0
75%,73.75,29.0,25.75,0.6575,248.5
max,466.0,73.0,66.0,0.73,740.0
