Day of Week,Bounce rate,Avg. session duration,Page views,Site sessions,Unique visitors
Friday,0.6025,420.0,152,71,66
Monday,0.5900000000000001,123.0,343,140,129
Saturday,0.4825,192.25,280,82,77
Sunday,0.565,162.5,227,92,81
Thursday,0.562,182.0,703,131,114
Tuesday,0.585,176.5,281,127,114
Wednesday,0.594,195.8,285,125,116
